name,latitude,longitude,description,category
Eiffel Tower,48.8584,2.2945,Famous iron lattice tower in Paris,landmark
Statue of Liberty,40.6892,-74.0445,Iconic statue in New York Harbor,landmark
Big Ben,51.5007,-0.1246,Clock tower in London,landmark
Sydney Opera House,-33.8568,151.2153,Performing arts centre in Sydney,landmark
Christ the Redeemer,-22.9519,-43.2105,Art Deco statue in Rio de Janeiro,landmark
Taj Mahal,27.1751,78.0421,Marble mausoleum in Agra,landmark
Colosseum,41.8902,12.4922,Ancient amphitheatre in Rome,landmark
Great Wall of China,40.4319,116.5704,Historic fortification in China,landmark
Machu Picchu,-13.1631,-72.5450,Ancient Incan city in Peru,landmark
Petra,30.3285,35.4444,Archaeological city in Jordan,landmark
